,DATE,Num_Households,Const_complt,un_constr,Cnstr_not_Strtd,UNRATE,Price_fact,Year,Month
0,2001-07-01,305.0,76.0,186.0,43.0,4.6,113.491,2001,7
1,2001-08-01,308.0,77.0,187.0,44.0,4.9,114.167,2001,8
2,2001-09-01,310.0,79.0,191.0,40.0,5.0,114.812,2001,9
3,2001-10-01,308.0,78.0,189.0,41.0,5.3,115.31,2001,10
4,2001-11-01,308.0,77.0,191.0,40.0,5.5,115.857,2001,11
5,2001-12-01,308.0,76.0,190.0,42.0,5.7,116.455,2001,12
6,2002-01-01,310.0,77.0,190.0,43.0,5.7,117.144,2002,1
7,2002-02-01,313.0,79.0,192.0,42.0,5.7,117.845,2002,2
8,2002-03-01,316.0,80.0,196.0,40.0,5.7,118.687,2002,3
9,2002-04-01,324.0,83.0,194.0,47.0,5.9,119.611,2002,4
10,2002-05-01,327.0,83.0,200.0,44.0,5.8,120.724,2002,5
11,2002-06-01,328.0,85.0,202.0,41.0,5.8,121.813,2002,6
12,2002-07-01,333.0,83.0,204.0,46.0,5.8,122.888,2002,7
13,2002-08-01,334.0,83.0,203.0,48.0,5.7,123.83,2002,8
14,2002-09-01,333.0,86.0,200.0,47.0,5.7,124.78,2002,9
15,2002-10-01,335.0,82.0,202.0,51.0,5.7,125.735,2002,10
16,2002-11-01,338.0,85.0,201.0,52.0,5.9,126.67,2002,11
17,2002-12-01,339.0,84.0,204.0,51.0,6.0,127.624,2002,12
18,2003-01-01,341.0,83.0,206.0,52.0,5.8,128.461,2003,1
19,2003-02-01,341.0,84.0,202.0,55.0,5.9,129.355,2003,2
20,2003-03-01,338.0,82.0,205.0,51.0,5.9,130.148,2003,3
21,2003-04-01,340.0,82.0,205.0,53.0,6.0,130.884,2003,4
22,2003-05-01,343.0,81.0,207.0,55.0,6.1,131.735,2003,5
23,2003-06-01,343.0,79.0,212.0,52.0,6.3,132.649,2003,6
24,2003-07-01,342.0,79.0,212.0,51.0,6.2,133.77700000000002,2003,7
25,2003-08-01,346.0,78.0,214.0,54.0,6.1,134.969,2003,8
26,2003-09-01,350.0,77.0,218.0,55.0,6.1,136.29399999999998,2003,9
27,2003-10-01,361.0,78.0,222.0,61.0,6.0,137.531,2003,10
28,2003-11-01,366.0,81.0,232.0,53.0,5.8,138.79399999999998,2003,11
29,2003-12-01,370.0,86.0,232.0,52.0,5.7,140.179,2003,12
30,2004-01-01,374.0,89.0,231.0,54.0,5.7,141.64600000000002,2004,1
31,2004-02-01,372.0,84.0,232.0,56.0,5.6,143.192,2004,2
32,2004-03-01,381.0,82.0,238.0,61.0,5.8,145.059,2004,3
33,2004-04-01,383.0,88.0,238.0,57.0,5.6,146.593,2004,4
34,2004-05-01,383.0,87.0,241.0,55.0,5.6,148.186,2004,5
35,2004-06-01,383.0,85.0,236.0,62.0,5.6,149.85,2004,6
36,2004-07-01,400.0,93.0,239.0,68.0,5.5,151.338,2004,7
37,2004-08-01,405.0,93.0,250.0,62.0,5.4,152.63299999999998,2004,8
38,2004-09-01,410.0,91.0,251.0,68.0,5.4,154.179,2004,9
39,2004-10-01,413.0,95.0,253.0,65.0,5.5,155.75,2004,10
40,2004-11-01,418.0,95.0,253.0,70.0,5.4,157.52700000000002,2004,11
41,2004-12-01,422.0,97.0,257.0,68.0,5.4,159.33,2004,12
42,2005-01-01,441.0,102.0,269.0,70.0,5.3,161.28799999999998,2005,1
43,2005-02-01,446.0,103.0,273.0,70.0,5.4,163.344,2005,2
44,2005-03-01,445.0,104.0,266.0,75.0,5.2,165.812,2005,3
45,2005-04-01,445.0,104.0,264.0,77.0,5.2,167.50099999999998,2005,4
46,2005-05-01,450.0,107.0,266.0,77.0,5.1,169.351,2005,5
47,2005-06-01,455.0,107.0,270.0,78.0,5.0,171.19,2005,6
48,2005-07-01,464.0,108.0,272.0,84.0,5.0,172.86,2005,7
49,2005-08-01,476.0,108.0,282.0,86.0,4.9,174.442,2005,8
50,2005-09-01,487.0,108.0,290.0,89.0,5.0,176.438,2005,9
51,2005-10-01,490.0,110.0,292.0,88.0,5.0,178.028,2005,10
52,2005-11-01,502.0,110.0,304.0,88.0,5.0,179.68,2005,11
53,2005-12-01,511.0,110.0,306.0,95.0,4.9,180.91,2005,12
54,2006-01-01,523.0,113.0,318.0,92.0,4.7,182.321,2006,1
