DATE,HNFSEPUSSA
2001-07-01,305
2001-08-01,308
2001-09-01,310
2001-10-01,308
2001-11-01,308
2001-12-01,308
2002-01-01,310
2002-02-01,313
2002-03-01,316
2002-04-01,324
2002-05-01,327
2002-06-01,328
2002-07-01,333
2002-08-01,334
2002-09-01,333
2002-10-01,335
2002-11-01,338
2002-12-01,339
2003-01-01,341
2003-02-01,341
2003-03-01,338
2003-04-01,340
2003-05-01,343
2003-06-01,343
2003-07-01,342
2003-08-01,346
2003-09-01,350
2003-10-01,361
2003-11-01,366
2003-12-01,370
2004-01-01,374
2004-02-01,372
2004-03-01,381
2004-04-01,383
2004-05-01,383
2004-06-01,383
2004-07-01,400
2004-08-01,405
2004-09-01,410
2004-10-01,413
2004-11-01,418
2004-12-01,422
2005-01-01,441
2005-02-01,446
2005-03-01,445
2005-04-01,445
2005-05-01,450
2005-06-01,455
2005-07-01,464
2005-08-01,476
2005-09-01,487
2005-10-01,490
2005-11-01,502
2005-12-01,511
2006-01-01,523
2006-02-01,539
2006-03-01,552
2006-04-01,565
2006-05-01,565
2006-06-01,566
2006-07-01,572
2006-08-01,566
2006-09-01,559
2006-10-01,554
2006-11-01,543
2006-12-01,536
2007-01-01,538
2007-02-01,544
2007-03-01,545
2007-04-01,548
2007-05-01,545
2007-06-01,542
2007-07-01,537
2007-08-01,533
2007-09-01,527
2007-10-01,514
2007-11-01,503
2007-12-01,497
2008-01-01,487
2008-02-01,477
2008-03-01,470
2008-04-01,458
2008-05-01,451
2008-06-01,435
2008-07-01,419
2008-08-01,409
2008-09-01,395
2008-10-01,381
2008-11-01,371
2008-12-01,353
2009-01-01,341
2009-02-01,326
2009-03-01,311
2009-04-01,300
2009-05-01,291
2009-06-01,280
2009-07-01,270
2009-08-01,261
2009-09-01,252
2009-10-01,243
2009-11-01,237
2009-12-01,234
2010-01-01,233
2010-02-01,231
2010-03-01,227
2010-04-01,217
2010-05-01,216
2010-06-01,212
2010-07-01,209
2010-08-01,206
2010-09-01,201
2010-10-01,199
2010-11-01,195
2010-12-01,190
2011-01-01,187
2011-02-01,183
2011-03-01,179
2011-04-01,173
2011-05-01,168
2011-06-01,166
2011-07-01,166
2011-08-01,162
2011-09-01,160
2011-10-01,158
2011-11-01,155
2011-12-01,151
2012-01-01,149
2012-02-01,147
2012-03-01,145
2012-04-01,144
2012-05-01,144
2012-06-01,145
2012-07-01,142
2012-08-01,143
2012-09-01,144
2012-10-01,147
2012-11-01,150
2012-12-01,150
2013-01-01,149
2013-02-01,152.0
2013-03-01,155.0
2013-04-01,161
2013-05-01,163.0
2013-06-01,161.0
2013-07-01,171.0
2013-08-01,175.0
2013-09-01,183
2013-10-01,183
2013-11-01,184
2013-12-01,186.0
2014-01-01,189.0
2014-02-01,187.0
2014-03-01,190.0
2014-04-01,190.0
2014-05-01,194.0
2014-06-01,199.0
2014-07-01,207.0
2014-08-01,207.0
2014-09-01,210.0
2014-10-01,209.0
2014-11-01,211
2014-12-01,210.0
2015-01-01,207.0
2015-02-01,203.0
2015-03-01,204.0
2015-04-01,206.0
2015-05-01,211.0
2015-06-01,216.0
2015-07-01,218.0
2015-08-01,217.0
2015-09-01,224.0
2015-10-01,226.0
2015-11-01,229
2015-12-01,232.0
2016-01-01,236.0
2016-02-01,239
2016-03-01,242.0
2016-04-01,242
2016-05-01,241
2016-06-01,244.0
2016-07-01,238.0
2016-08-01,240
2016-09-01,243
2016-10-01,249
2016-11-01,248.0
2016-12-01,254.0
2017-01-01,257
2017-02-01,261
2017-03-01,265
2017-04-01,268
2017-05-01,271.0
2017-06-01,274
2017-07-01,277
2017-08-01,281
2017-09-01,282
2017-10-01,286
2017-11-01,287
2017-12-01,293.0
2018-01-01,293
2018-02-01,296
2018-03-01,297
2018-04-01,300
2018-05-01,301.0
2018-06-01,310.0
2018-07-01,313
2018-08-01,319
2018-09-01,325
2018-10-01,331
2018-11-01,334
2018-12-01,346
2019-01-01,346
2019-02-01,339
2019-03-01,337
2019-04-01,334
2019-05-01,337
2019-06-01,331
2019-07-01,329
2019-08-01,326
2019-09-01,323
2019-10-01,319
2019-11-01,320
2019-12-01,323
2020-01-01,325
2020-02-01,328
2020-03-01,332
2020-04-01,325
2020-05-01,313
2020-06-01,300
2020-07-01,289
2020-08-01,284
2020-09-01,283
2020-10-01,281
2020-11-01,287
2020-12-01,299
2021-01-01,303
2021-02-01,310
2021-03-01,309
2021-04-01,318
2021-05-01,332
2021-06-01,347
2021-07-01,362
2021-08-01,375
2021-09-01,374
2021-10-01,385
2021-11-01,388
2021-12-01,387
2022-01-01,394
2022-02-01,397
2022-03-01,413
2022-04-01,434
2022-05-01,441
2022-06-01,448
2022-07-01,459
2022-08-01,460
2022-09-01,460
2022-10-01,466
2022-11-01,455
2022-12-01,451
2023-01-01,439
2023-02-01,437
2023-03-01,433
2023-04-01,430
2023-05-01,426
2023-06-01,429
2023-07-01,429
2023-08-01,430
2023-09-01,433
2023-10-01,439
